"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ensembl_gene_id"	"chromosome_name"	"external_gene_name"	"padj"	"gene"
-261.035405767093	6.50169974722018	-6.30810110726529	3.57296136421947e-05	0.437284501766616	-4.5932892499696	"ENSG00000134042"	"18"	"MRO"	0.437284501766616	"MRO"
-262.353416595668	-52.83662246693	-6.19072548966792	4.27202522241711e-05	0.437284501766616	-4.5933073742439	"ENSG00000204482"	"6"	"LST1"	0.437284501766616	"LST1"
-226.805240794709	-21.509579346846	-5.85484416246885	7.19912482659382e-05	0.491268278166762	-4.59336328167113	"ENSG00000196440"	"X"	"ARMCX4"	0.491268278166762	"ARMCX4"
-147.83556836099	6.19731222922299	-5.64771008230764	0.000100105916315415	0.512342079702294	-4.59340100047945	"ENSG00000180884"	"19"	"ZNF792"	0.512342079702294	"ZNF792"
-199.80369753643	21.3223540424595	-5.20345516885982	0.000207189998274164	0.848318728933735	-4.59349130095991	"ENSG00000187955"	"8"	"COL14A1"	0.848318728933735	"COL14A1"
-130.278602082596	5.16463052041214	-4.88109212908751	0.000357325475885234	0.999055673530808	-4.59356582614836	"ENSG00000249602"	"1"	"AL589765.4"	0.999055673530808	"AL589765.4"
-247.610150032246	9.61702775011487	-4.7459145555914	0.000450963762378143	0.999055673530808	-4.59359956613798	"ENSG00000271949"	"1"	"AC093423.3"	0.999055673530808	"AC093423.3"
-105.315113952126	19.1183113304469	-4.58899278047708	0.000592638920286526	0.999055673530808	-4.59364070033442	"ENSG00000178722"	"5"	"C5orf64"	0.999055673530808	"C5orf64"
-152.204131274471	3.72850406153364	-4.53055923474767	0.000656634442882682	0.999055673530808	-4.59365657670385	"ENSG00000223390"	"1"	"AL445685.1"	0.999055673530808	"AL445685.1"
-172.8366733399	2.18430937984094	-4.44391850865023	0.000765063584946598	0.999055673530808	-4.59368069158673	"ENSG00000251526"	"4"	"LINC02435"	0.999055673530808	"LINC02435"
