barcode	manifest	individual	diagnosis	sex	total_counts	total_features_by_counts	pc_mito	pc_ribo	is_singlet	clusters	partitions	Allan2019_ML1	Allan2019_ML2	Zeisel2018_ML4	Zeisel2018_ML5	allan_celltype	allan_layer	allan_cluster_gene_1	allan_cluster_gene_2	cluster_celltype
fonij_1_Teinh_1	fonij	1	Cases	F	2606	1466	0	0.0395271518285925	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_2	fonij	1	Cases	F	4391	2221	0	0.0331941085952957	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_3	fonij	1	Cases	F	3410	1762	0	0.0235594663638944	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_4	fonij	1	Cases	F	3882	1912	0	0.033099297893681	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_5	fonij	1	Cases	F	2199	1364	0	0.010412147505423	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_6	fonij	1	Cases	F	2101	1313	0	0.0314064633591261	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_7	fonij	1	Cases	F	1859	1178	0	0.0301298701298701	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_8	fonij	1	Cases	F	3343	1739	0	0.0230880230880231	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_9	fonij	1	Cases	F	4094	1956	0	0.0238770685579196	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_10	fonij	1	Cases	F	2863	1640	0	0.028956228956229	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_11	fonij	1	Cases	F	2521	1498	0	0.0351413292589763	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_12	fonij	1	Cases	F	757	621	0	0.0100250626566416	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_13	fonij	1	Cases	F	1974	1214	0	0.00824042656325739	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_14	fonij	1	Cases	F	2000	1306	0	0.0119904076738609	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_15	fonij	1	Cases	F	3688	1899	0	0.0269633507853403	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_16	fonij	1	Cases	F	1512	1061	0	0.00630517023959647	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_17	fonij	1	Cases	F	4007	2017	0	0.0246555474981871	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_18	fonij	1	Cases	F	1691	1086	0	0.00620767494356659	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_19	fonij	1	Cases	F	2672	1518	0	0.013678905687545	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_20	fonij	1	Cases	F	1461	864	0	0.00595632031767042	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_21	fonij	1	Cases	F	757	606	0	0.0100502512562814	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_22	fonij	1	Cases	F	2003	1276	0	0.015857760691975	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_23	fonij	1	Cases	F	2691	1498	0	0.0224312590448625	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_24	fonij	1	Cases	F	2871	1548	0	0.0155091031692515	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_25	fonij	1	Cases	F	2762	1489	0	0.0322354590049054	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_26	fonij	1	Cases	F	4249	1858	0	0.0242285714285714	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_27	fonij	1	Cases	F	547	452	0	0.0103448275862069	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_28	fonij	1	Cases	F	3835	1904	0	0.0277427490542245	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_29	fonij	1	Cases	F	1769	1148	0	0.0155495978552279	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_30	fonij	1	Cases	F	731	584	0	0.012987012987013	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_31	fonij	1	Cases	F	2990	1566	0	0.0204479065238559	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_32	fonij	1	Cases	F	2923	1525	0	0.0323859881031064	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_33	fonij	1	Cases	F	3003	1641	0	0.00962772785622593	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_34	fonij	1	Cases	F	5546	2367	0	0.0311742293037755	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_35	fonij	1	Cases	F	2079	1280	0	0.0328247803975959	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_36	fonij	1	Cases	F	2877	1585	0	0.0304042766455062	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_37	fonij	1	Cases	F	3229	1632	0	0.0183238209672574	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_38	fonij	1	Cases	F	2436	1315	0	0.0214541120381406	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_39	fonij	1	Cases	F	2985	1606	0	0.0338211382113821	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_40	fonij	1	Cases	F	1579	1101	0	0.0114942528735632	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_41	fonij	1	Cases	F	1780	1178	0	0.0428265524625268	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_42	fonij	1	Cases	F	1495	912	0	0.00580645161290323	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_43	fonij	1	Cases	F	1569	1039	0	0.00676923076923077	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_44	fonij	1	Cases	F	3258	1732	0	0.0118378218407813	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_45	fonij	1	Cases	F	2489	1471	0	0.0291149068322981	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_46	fonij	1	Cases	F	2672	1631	0	0.0232724668814894	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_47	fonij	1	Cases	F	2751	1565	0	0.02990851513019	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_48	fonij	1	Cases	F	2308	1424	0	0.0284067517496912	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_49	fonij	1	Cases	F	2008	1288	0	0.0330618112122664	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_50	fonij	1	Cases	F	2430	1350	0	0.0163151611619578	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_51	fonij	1	Cases	F	1390	945	0	0.00964851826326671	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_52	fonij	1	Cases	F	1742	1148	0	0.0289532293986637	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_53	fonij	1	Cases	F	3664	1846	0	0.0250197524361338	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_54	fonij	1	Cases	F	1985	1267	0	0.0257281553398058	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_55	fonij	1	Cases	F	1725	1054	0	0.00723025583982202	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_56	fonij	1	Cases	F	1887	1230	0	0.0157200811359026	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_57	fonij	1	Cases	F	2798	1526	0	0.03169135377196	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_58	fonij	1	Cases	F	5912	2689	0	0.0602292911351526	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_59	fonij	1	Cases	F	1631	1121	0	0.0379229871645274	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_60	fonij	1	Cases	F	1861	1140	0	0.068486096807415	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_61	fonij	1	Cases	F	2654	1474	0	0.0277879341864717	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_62	fonij	1	Cases	F	1205	789	0	0.00562700964630225	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_63	fonij	1	Cases	F	3173	1838	0	0.0146252285191956	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_64	fonij	1	Cases	F	2077	1387	0	0.0415111940298507	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_65	fonij	1	Cases	F	3252	1789	0	0.0255952380952381	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_66	fonij	1	Cases	F	1455	982	0	0.00992063492063492	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_67	fonij	1	Cases	F	2746	1621	0	0.0290108353722475	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_68	fonij	1	Cases	F	1469	999	0	0.0300850228907783	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_69	fonij	1	Cases	F	2476	1497	0	0.0132450331125828	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_70	fonij	1	Cases	F	3229	1680	0	0.00832589949449896	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_71	fonij	1	Cases	F	2350	1345	0	0.0358467243510507	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_72	fonij	1	Cases	F	2206	1341	0	0.0364035087719298	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_73	fonij	1	Cases	F	1903	1274	0	0.0121396054628225	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_74	fonij	1	Cases	F	2520	1496	0	0.0289413556740289	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_75	fonij	1	Cases	F	2426	1540	0	0.0166666666666667	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_76	fonij	1	Cases	F	2218	1305	0	0.0201048951048951	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_77	fonij	1	Cases	F	1318	910	0	0.00938628158844765	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_78	fonij	1	Cases	F	3697	2191	0	0.0221535291087069	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_79	fonij	1	Cases	F	3078	1622	0	0.0173775671406003	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_80	fonij	1	Cases	F	3084	1771	0	0.0128834355828221	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_81	fonij	1	Cases	F	1490	978	0	0.00965872504829363	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_82	fonij	1	Cases	F	2082	1234	0	0.0301204819277108	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_83	fonij	1	Cases	F	3918	1960	0	0.00907752698724239	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_84	fonij	1	Cases	F	2311	1306	0	0.0317327766179541	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_85	fonij	1	Cases	F	1783	1053	0	0.0107874865156419	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_86	fonij	1	Cases	F	3477	1724	0	0.0272449263274951	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_87	fonij	1	Cases	F	2981	1692	0	0.00937904269081501	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_88	fonij	1	Cases	F	2002	1338	0	0.00901328273244782	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_89	fonij	1	Cases	F	3843	1950	0	0.0276243093922652	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_90	fonij	1	Cases	F	3324	1768	0	0.0238510762070972	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_91	fonij	1	Cases	F	2202	1380	0	0.0107573149741824	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_92	fonij	1	Cases	F	1802	1120	0	0.037037037037037	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_93	fonij	1	Cases	F	1965	1296	0	0.0311435523114355	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_94	fonij	1	Cases	F	4563	2155	0	0.0150615188799321	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_95	fonij	1	Cases	F	2117	1295	0	0.0213151927437642	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_96	fonij	1	Cases	F	1081	769	0	0.00617283950617284	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_97	fonij	1	Cases	F	2672	1446	0	0.0184448462929476	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_98	fonij	1	Cases	F	1810	1198	0	0.0255455029270889	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_99	fonij	1	Cases	F	2255	1436	0	0.0277777777777778	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_100	fonij	1	Cases	F	2575	1500	0	0.0358490566037736	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_101	fonij	1	Cases	F	3065	1658	0	0.0232266164469554	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_102	fonij	1	Cases	F	3493	1959	0	0.0166666666666667	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_103	fonij	1	Cases	F	1356	1007	0	0.0283486888731396	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_104	fonij	1	Cases	F	1509	1045	0	0.0101201771030993	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_105	fonij	1	Cases	F	1739	1130	0	0.0115830115830116	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_106	fonij	1	Cases	F	1839	1255	0	0.0245174752217006	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_107	fonij	1	Cases	F	3918	1950	0	0.0351178781925344	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_108	fonij	1	Cases	F	3762	1964	0	0.0212493599590374	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_109	fonij	1	Cases	F	2562	1516	0	0.014711429649189	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_110	fonij	1	Cases	F	3031	1644	0	0.0201149425287356	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_111	fonij	1	Cases	F	1406	1006	0	0.012863913337847	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_112	fonij	1	Cases	F	1367	987	0	0.0139762403913347	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_113	fonij	1	Cases	F	3346	1760	0	0.0320623916811092	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_114	fonij	1	Cases	F	2526	1500	0	0.0353343465045593	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_115	fonij	1	Cases	F	1725	1148	0	0.0149833518312986	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_116	fonij	1	Cases	F	6524	2522	0	0.0271804062126643	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_117	fonij	1	Cases	F	1299	918	0	0.00888230940044412	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_118	fonij	1	Cases	F	6993	3014	0	0.0196861233480176	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_119	fonij	1	Cases	F	2830	1633	0	0.0194141689373297	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_120	fonij	1	Cases	F	2709	1561	0	0.0284900284900285	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_121	fonij	1	Cases	F	1037	807	0	0.0117967332123412	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
fonij_1_Teinh_122	fonij	1	Cases	F	1423	997	0	0.0209459459459459	TRUE	3	1	GABAergic	Inh L1 SST NMBR	Telencephalon inhibitory interneurons	TEINH15	Inh	L1	SST	NMBR	IN-SST
