barcode	manifest	individual	diagnosis	sex	total_counts	total_features_by_counts	pc_mito	pc_ribo	is_singlet	clusters	partitions	Allan2019_ML1	Allan2019_ML2	Zeisel2018_ML4	Zeisel2018_ML5	allan_celltype	allan_layer	allan_cluster_gene_1	allan_cluster_gene_2	cluster_celltype
fonij_1_MOL1_1675	fonij	1	Cases	F	2254	1075	0	0.0302506482281763	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1676	fonij	1	Cases	F	2412	1213	0	0.0387565603552685	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1677	fonij	1	Cases	F	1715	927	0	0.0372670807453416	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1678	fonij	1	Cases	F	2323	1136	0	0.0335711288292069	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1679	fonij	1	Cases	F	2040	920	0	0.0392532312111058	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1680	fonij	1	Cases	F	2319	1146	0	0.0218763146823727	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1681	fonij	1	Cases	F	3945	1591	0	0.0317775571002979	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1682	fonij	1	Cases	F	2838	1295	0	0.0322248885841618	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1683	fonij	1	Cases	F	2653	1328	0	0.0312155710613294	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1684	fonij	1	Cases	F	1678	872	0	0.0232828870779977	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1685	fonij	1	Cases	F	1572	847	0	0.0241486068111455	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1686	fonij	1	Cases	F	2021	955	0	0.0444015444015444	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1687	fonij	1	Cases	F	2569	1162	0	0.0303260045489007	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1688	fonij	1	Cases	F	2288	1036	0	0.0217669654289373	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1689	fonij	1	Cases	F	2628	1224	0	0.0341753343239227	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1690	fonij	1	Cases	F	1946	1010	0	0.0224550898203593	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1691	fonij	1	Cases	F	3087	1410	0	0.0230066183422628	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1692	fonij	1	Cases	F	2133	1094	0	0.0256645279560037	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1693	fonij	1	Cases	F	1977	960	0	0.0314805705853419	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1694	fonij	1	Cases	F	1941	998	0	0.0250375563345018	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1695	fonij	1	Cases	F	1942	902	0	0.0347957639939486	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1696	fonij	1	Cases	F	4531	1675	0	0.0155005382131324	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1697	fonij	1	Cases	F	1739	937	0	0.0280269058295964	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1698	fonij	1	Cases	F	2240	1075	0	0.0218340611353712	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1699	fonij	1	Cases	F	2183	996	0	0.0340196956132498	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1700	fonij	1	Cases	F	2062	1025	0	0.0245630609352858	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1701	fonij	1	Cases	F	1956	976	0	0.0274725274725275	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1702	fonij	1	Cases	F	2160	1034	0	0.0161725067385445	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1703	fonij	1	Cases	F	2214	1041	0	0.026431718061674	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1704	fonij	1	Cases	F	1735	933	0	0.0219594594594595	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1705	fonij	1	Cases	F	2210	1101	0	0.037560760053027	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1706	fonij	1	Cases	F	1459	875	0	0.0245033112582781	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1707	fonij	1	Cases	F	2615	1188	0	0.0317875841436051	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1708	fonij	1	Cases	F	2488	1087	0	0.0310168826069886	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1709	fonij	1	Cases	F	2447	1165	0	0.0191693290734824	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1710	fonij	1	Cases	F	2643	1163	0	0.0214814814814815	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1711	fonij	1	Cases	F	3162	1303	0	0.0172520024645718	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1712	fonij	1	Cases	F	2245	1130	0	0.0330291177748805	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1713	fonij	1	Cases	F	2373	1037	0	0.0218556701030928	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
fonij_1_MOL1_1714	fonij	1	Cases	F	3570	1427	0	0.025395958492627	TRUE	1	1	Non-neuronal	Oligo L1-6 OPALIN	Oligodendrocytes	MOL1	Oligo	L1-6	OPALIN	NA	Oligo
